local_switch,local_interface,remote_switch,remote_interface,notes_and_comments

spine1,Ethernet1/1,leaf1,Ethernet49/1,
spine1,Ethernet2/1,leaf2,Ethernet49/1,
spine1,Ethernet3/1,leaf3,Ethernet49/1,
spine1,Ethernet4/1,leaf4,Ethernet49/1,
spine1,Ethernet5/1,border1,Ethernet1/1,
spine1,Ethernet6/1,border1,Ethernet2/1,
spine1,Ethernet7/1,border2,Ethernet1/1,
spine1,Ethernet8/1,border2,Ethernet2/1,

spine2,Ethernet1/1,leaf1,Ethernet50/1,
spine2,Ethernet2/1,leaf2,Ethernet50/1,
spine2,Ethernet3/1,leaf3,Ethernet50/1,
spine2,Ethernet4/1,leaf4,Ethernet50/1,
spine2,Ethernet5/1,border1,Ethernet5/1,
spine2,Ethernet6/1,border1,Ethernet6/1,
spine2,Ethernet7/1,border2,Ethernet5/1,
spine2,Ethernet8/1,border2,Ethernet6/1,

border1,Ethernet11/1,pe1,Ethernet1,
border2,Ethernet11/1,pe2,Ethernet1,

pe1,Ethernet2,pe2,Ethernet2,
